Timestamp,Channel,Voltage_mV
2025-04-15 00:00:00,1,0
2025-04-15 00:00:10,2,26.0639311512849
2025-04-15 00:00:20,3,50.326127806881
2025-04-15 00:00:30,4,71.1094048790193
2025-04-15 00:00:40,1,0.753975093035709
2025-04-15 00:00:50,2,26.7911051866479
2025-04-15 00:01:00,3,50.9762330587905
2025-04-15 00:01:10,4,71.6375011943035
2025-04-15 00:01:20,1,1.50790732360371
2025-04-15 00:01:30,2,27.5167561837945
2025-04-15 00:01:40,3,51.6234403805648
2025-04-15 00:01:50,4,72.1615250142098
2025-04-15 00:02:00,1,2.26175383167298
2025-04-15 00:02:10,2,28.2408428904438
2025-04-15 00:02:20,3,52.26771297934
2025-04-15 00:02:30,4,72.6814465486903
2025-04-15 00:02:40,1,3.01547176208568
2025-04-15 00:02:50,2,28.9633241432423
2025-04-15 00:03:00,3,52.9090142290875
2025-04-15 00:03:10,4,73.1972362409066
2025-04-15 00:03:20,1,3.76901826699345
2025-04-15 00:03:30,2,29.6841588701049
2025-04-15 00:03:40,3,53.5473076726956
2025-04-15 00:03:50,4,73.70886476891
2025-04-15 00:04:00,1,4.52235050829326
2025-04-15 00:04:10,2,30.403306092549
2025-04-15 00:04:20,3,54.1825570240425
2025-04-15 00:04:30,4,74.2163030473083
2025-04-15 00:04:40,1,5.27542566006265
2025-04-15 00:04:50,2,31.1207249280244
2025-04-15 00:05:00,3,54.8147261700587
2025-04-15 00:05:10,4,74.7195222289194
2025-04-15 00:05:20,1,6.02820091099435
2025-04-15 00:05:30,2,31.8363745922372
2025-04-15 00:05:40,3,55.4437791727806
2025-04-15 00:05:50,4,75.2184937064111
2025-04-15 00:06:00,1,6.78063346683008
2025-04-15 00:06:10,2,32.5502144014688
2025-04-15 00:06:20,3,56.0696802713929
2025-04-15 00:06:30,4,75.7131891139277
2025-04-15 00:06:40,1,7.53268055279327
2025-04-15 00:06:50,2,33.2622037748883
2025-04-15 00:07:00,3,56.6923938842617
2025-04-15 00:07:10,4,76.2035803287018
2025-04-15 00:07:20,1,8.28429941602084
2025-04-15 00:07:30,2,33.9723022368595
2025-04-15 00:07:40,3,57.3118846109576
2025-04-15 00:07:50,4,76.6896394726542
2025-04-15 00:08:00,1,9.03544732799356
2025-04-15 00:08:10,2,34.6804694192421
2025-04-15 00:08:20,3,57.9281172342679
2025-04-15 00:08:30,4,77.1713389139775
2025-04-15 00:08:40,1,9.78608158696515
2025-04-15 00:08:50,2,35.3866650636862
2025-04-15 00:09:00,3,58.5410567221985
2025-04-15 00:09:10,4,77.6486512687079
2025-04-15 00:09:20,1,10.5361595203898
2025-04-15 00:09:30,2,36.0908490239215
2025-04-15 00:09:40,3,59.1506682299658
2025-04-15 00:09:50,4,78.1215494022814
2025-04-15 00:10:00,1,11.2856384873482
2025-04-15 00:10:10,2,36.792981268039
2025-04-15 00:10:20,3,59.7569171019773
2025-04-15 00:10:30,4,78.5900064310765
2025-04-15 00:10:40,1,12.0344758809712
2025-04-15 00:10:50,2,37.4930218807671
2025-04-15 00:11:00,3,60.3597688738018
2025-04-15 00:11:10,4,79.0539957239427
2025-04-15 00:11:20,1,12.7826291308624
2025-04-15 00:11:30,2,38.1909310657406
2025-04-15 00:11:40,3,60.9591892741288
2025-04-15 00:11:50,4,79.5134909037141
2025-04-15 00:12:00,1,13.530055705518
2025-04-15 00:12:10,2,38.8866691477631
2025-04-15 00:12:20,3,61.5551442267165
2025-04-15 00:12:30,4,79.968465848709
2025-04-15 00:12:40,1,14.2767131147449
2025-04-15 00:12:50,2,39.5801965750625
2025-04-15 00:13:00,3,62.1475998523291
2025-04-15 00:13:10,4,80.4188946942153
2025-04-15 00:13:20,1,15.0225589120757
2025-04-15 00:13:30,2,40.2714739215392
2025-04-15 00:13:40,3,62.7365224706629
2025-04-15 00:13:50,4,80.8647518339601
2025-04-15 00:14:00,1,15.7675506971823
2025-04-15 00:14:10,2,40.9604618890082
2025-04-15 00:14:20,3,63.321878602261
2025-04-15 00:14:30,4,81.306011921566
2025-04-15 00:14:40,1,16.5116461182858
2025-04-15 00:14:50,2,41.647121309432
2025-04-15 00:15:00,3,63.9036349704162
2025-04-15 00:15:10,4,81.742649871992
2025-04-15 00:15:20,1,17.2548028745647
2025-04-15 00:15:30,2,42.3314131471483
2025-04-15 00:15:40,3,64.4817585030633
2025-04-15 00:15:50,4,82.174640862959
2025-04-15 00:16:00,1,17.996978718559
2025-04-15 00:16:10,2,43.0132985010885
2025-04-15 00:16:20,3,65.0562163346587
2025-04-15 00:16:30,4,82.6019603363616
2025-04-15 00:16:40,1,18.7381314585725
2025-04-15 00:16:50,2,43.6927386069894
2025-04-15 00:17:00,3,65.6269758080491
2025-04-15 00:17:10,4,83.0245839996637
2025-04-15 00:17:20,1,19.4782189610709
2025-04-15 00:17:30,2,44.3696948395968
2025-04-15 00:17:40,3,66.1940044763277
2025-04-15 00:17:50,4,83.4424878272797
2025-04-15 00:18:00,1,20.2171991530773
2025-04-15 00:18:10,2,45.0441287148613
2025-04-15 00:18:20,3,66.7572701046791
2025-04-15 00:18:30,4,83.8556480619403
2025-04-15 00:18:40,1,20.9550300245641
2025-04-15 00:18:50,2,45.7160018921264
2025-04-15 00:19:00,3,67.3167406722115
2025-04-15 00:19:10,4,84.2640412160432
2025-04-15 00:19:20,1,21.6916696308405
2025-04-15 00:19:30,2,46.3852761763075
2025-04-15 00:19:40,3,67.8723843737774
2025-04-15 00:19:50,4,84.667644072988
2025-04-15 00:20:00,1,22.4270760949381
2025-04-15 00:20:10,2,47.0519135200638
2025-04-15 00:20:20,3,68.4241696217813
2025-04-15 00:20:30,4,85.0664336884964
2025-04-15 00:20:40,1,23.1612076099906
2025-04-15 00:20:50,2,47.7158760259608
