Timestamp,Voltage_mV
2024-11-03  23:39:35,0
2024-11-03  23:56:15,-9.71364707913698e-11
2024-11-04  00:12:55,-1.9427294158274e-10
2024-11-04  00:29:35,-2.91409412374109e-10
2024-11-04  00:46:15,-3.88545883165479e-10
2024-11-04  01:02:55,-3.39606539963022e-09
2024-11-04  01:19:35,-5.82818824748219e-10
2024-11-04  01:36:15,-3.59033834121296e-09
2024-11-04  01:52:55,-7.77091766330958e-10
2024-11-04  02:09:35,2.03615480855104e-09
2024-11-04  02:26:15,-6.79213079926044e-09
2024-11-04  02:42:55,-3.97888422437844e-09
2024-11-04  02:59:35,-1.16563764949644e-09
2024-11-04  03:16:15,1.64760892538556e-09
2024-11-04  03:32:55,-7.18067668242592e-09
2024-11-04  03:49:35,-4.36743010754392e-09
2024-11-04  04:06:15,-1.55418353266192e-09
2024-11-04  04:22:55,-1.03824691404734e-08
2024-11-04  04:39:35,4.07230961710208e-09
2024-11-04  04:56:15,-4.7559759907094e-09
2024-11-04  05:12:55,-1.35842615985209e-08
2024-11-04  05:29:35,8.70517159054605e-10
2024-11-04  05:46:15,-7.95776844875688e-09
2024-11-04  06:02:55,-1.67860540565684e-08
2024-11-04  06:19:35,-2.33127529899287e-09
2024-11-04  06:36:15,-1.11595609068044e-08
2024-11-04  06:52:55,3.29521785077113e-09
2024-11-04  07:09:35,-5.53306775704035e-09
2024-11-04  07:26:15,-1.43613533648518e-08
2024-11-04  07:42:55,9.34253927236463e-11
2024-11-04  07:59:35,-8.73486021508783e-09
2024-11-04  08:16:15,-1.75631458228993e-08
2024-11-04  08:32:55,-3.10836706532383e-09
2024-11-04  08:49:35,-1.19366526731353e-08
2024-11-04  09:06:15,-2.07649382809468e-08
2024-11-04  09:22:55,-2.95932238887583e-08
2024-11-04  09:39:35,8.14461923420417e-09
2024-11-04  09:56:15,-6.83666373607312e-10
2024-11-04  10:12:55,-9.51195198141879e-09
2024-11-04  10:29:35,-1.83402375892303e-08
2024-11-04  10:46:15,-2.71685231970418e-08
2024-11-04  11:02:55,1.05693199259207e-08
2024-11-04  11:19:35,1.74103431810921e-09
2024-11-04  11:36:15,-7.08725128970227e-09
2024-11-04  11:52:55,-1.59155368975138e-08
2024-11-04  12:09:35,-2.47438225053252e-08
2024-11-04  12:26:15,-3.35721081131367e-08
2024-11-04  12:42:55,4.16573500982573e-09
2024-11-04  12:59:35,-4.66255059798575e-09
2024-11-04  13:16:15,-1.34908362057972e-08
2024-11-04  13:32:55,-2.23191218136087e-08
2024-11-04  13:49:35,-3.11474074214202e-08
2024-11-04  14:06:15,6.59043570154225e-09
2024-11-04  14:22:55,-2.23784990626923e-09
2024-11-04  14:39:35,-1.10661355140807e-08
2024-11-04  14:56:15,-1.98944211218922e-08
2024-11-04  15:12:55,-2.87227067297037e-08
2024-11-04  15:29:35,9.01513639325877e-09
2024-11-04  15:46:15,1.86850785447293e-10
2024-11-04  16:02:55,-8.64143482236419e-09
2024-11-04  16:19:35,-1.74697204301757e-08
2024-11-04  16:36:15,-2.62980060379871e-08
2024-11-04  16:52:55,-3.51262916457986e-08
2024-11-04  17:09:35,2.61155147716381e-09
2024-11-04  17:26:15,-6.21673413064767e-09
2024-11-04  17:42:55,-1.50450197384591e-08
2024-11-04  17:59:35,-2.38733053462706e-08
2024-11-04  18:16:15,-3.27015909540821e-08
2024-11-04  18:32:55,-4.15298765618936e-08
2024-11-04  18:49:35,-5.03581621697051e-08
2024-11-04  19:06:15,-5.91864477775166e-08
2024-11-04  19:22:55,2.51175240762198e-08
2024-11-04  19:39:35,1.62892384684083e-08
2024-11-04  19:56:15,7.46095286059686e-09
2024-11-04  20:12:55,-1.36733274721462e-09
2024-11-04  20:29:35,-1.01956183550261e-08
2024-11-04  20:46:15,-1.90239039628376e-08
2024-11-04  21:02:55,-2.78521895706491e-08
2024-11-04  21:19:35,-3.66804751784605e-08
2024-11-04  21:36:15,-4.5508760786272e-08
2024-11-04  21:52:55,-5.43370463940835e-08
2024-11-04  22:09:35,-6.3165332001895e-08
2024-11-04  22:26:15,2.11386398518414e-08
2024-11-04  22:42:55,1.23103542440299e-08
2024-11-04  22:59:35,3.48206863621842e-09
2024-11-04  23:16:15,-5.34621697159306e-09
2024-11-04  23:32:55,-1.41745025794045e-08
2024-11-04  23:49:35,-2.3002788187216e-08
2024-11-05  00:06:15,-3.18310737950275e-08
